web-scraper-order,web-scraper-start-url,name,skills
"1562496042-2095","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become an AWS Data and DevOps Specialist","Network Administration"
"1562496042-2161","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Advance Your JavaScript Skills","JavaScript"
"1562496042-2151","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Advance Your JavaScript Skills","JavaScript"
"1562496042-2078","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a Cloud Administrator","Cloud Computing"
"1562496042-2201","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Advance Your JavaScript Skills","JavaScript"
"1562496042-2202","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for the AZ-203 Developing Solutions for Microsoft Azure Exam","Cloud Development"
"1562496042-2068","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a Front-End Web Developer","Web Development"
"1562496042-2186","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for AWS Solutions Architect (Associate) Certification","Cloud Computing"
"1562496042-2127","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for the CompTIA Cloud+ (CV0-002) Certification","Cloud Computing"
"1562496042-2147","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a Microsoft 365 Enterprise Administrator","Enterprise Mobility"
"1562496042-2086","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for AWS Solutions Architect – Professional Certification","Cloud Security"
"1562496042-2122","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a Programmer","Software Development"
"1562496042-2064","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a Full-Stack Web Developer","Back-End Web Development"
"1562496042-2195","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for the Docker Certified Associate (DCA) Certification","Docker Products"
"1562496042-2131","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a Machine Learning Specialist","Data Science"
"1562496042-2157","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become an IT Support Technician","Network Administration"
"1562496042-2179","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a PHP Developer","Back-End Web Development"
"1562496042-2145","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a CompTIA A+ (220-1001 and 220-1002) Certified Technician","Operating Systems"
"1562496042-2126","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Improve Your iOS UI Development Skills","Mobile Application Development"
"1562496042-2091","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become an Agile Software Developer","Agile Project Management"
"1562496042-2164","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a Web Developer","Web Development"
"1562496042-2085","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Master Cloud-Native Infrastructure with Kubernetes","Containerization"
"1562496042-2171","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Advance Your JavaScript Skills","JavaScript"
"1562496042-2115","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a FileMaker Custom App Developer","FileMaker"
"1562496042-2133","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become an ASP.NET Developer","ASP.NET Web API"
"1562496042-2075","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a RESTful API Developer","Back-End Web Development"
"1562496042-2177","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Improve Your Infrastructure Automation with HashiCorp Tools","Continuous Delivery"
"1562496042-2076","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become an ASP.NET Core Developer","ASP.NET"
"1562496042-2100","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for AWS DevOps Engineer (Professional) Certification","Cloud Computing"
"1562496042-2089","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a Data Visualization Specialist: Concepts","Data Visualization"
"1562496042-2144","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for the MTA: Database Fundamentals Exam (98-364)","Database Development"
"1562496042-2167","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a Junior WordPress Developer","Web Design"
"1562496042-2180","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for the AZ-203 Developing Solutions for Microsoft Azure Exam","Cloud Development"
"1562496042-2092","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Advance Your Skills as an IT Help Desk Specialist","Service Desk"
"1562496042-2178","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a DevOps Engineer","Information Technology"
"1562496042-2188","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for the AWS Certified Developer Associate Exam","Amazon Web Services (AWS)"
"1562496042-2077","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Advance Your Skills in Deep Learning and Neural Networks","Python (Programming Language)"
"1562496042-2084","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a Node.js Developer","Node.js"
"1562496042-2182","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for CompTIA Server+ (SK0-004) Certification","Networking"
"1562496042-2132","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Get Ahead in PHP: PHP 7 Features and Frameworks","PHP"
"1562496042-2082","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Master R for Data Science","Data Analysis"
"1562496042-2135","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for the MTA: Networking Fundamentals Exam (98-366)","Network Administration"
"1562496042-2194","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Get Ahead In Data Science","Big Data"
"1562496042-2138","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Advance Your Skills as an Azure IT Administrator","Cloud Computing"
"1562496042-2174","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a Data Science Team Member","Data Analysis"
"1562496042-2152","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Improve Your React Skills","Web Applications"
"1562496042-2107","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Build a Virtual Reality Application with React","Virtual Reality (VR)"
"1562496042-2093","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for the Google Associate Android Developer Certification","Mobile Application Development"
"1562496042-2128","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a User Experience Designer","User Interface Prototyping"
"1562496042-2154","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become an AWS Cloud Practitioner","Network Administration"
"1562496042-2097","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Digital Transformation in Practice","Digital Transformation"
"1562496042-2063","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a CompTIA A+ Certified Technician","Technical Support"
"1562496042-2148","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for the MCSA: Windows Server 2016 Certification (70-740, 70-741, 70-742)","Network Administration"
"1562496042-2119","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a Ruby on Rails Developer","Ruby"
"1562496042-2153","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Advance your Skills as a PHP Developer: Core PHP","PHP"
"1562496042-2189","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for the VMware vSphere Data Center Virtualization Exam (VCP6.5-DCV)","Cloud Administration"
"1562496042-2073","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Improve Your ITIL® Skills","ITIL"
"1562496042-2142","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for the (ISC)²  Systems Security Certified Practitioner (SSCP) Exam","Security Analysis"
"1562496042-2121","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Advance your Skills as a PHP Developer: Testing and Debugging","PHP"
"1562496042-2108","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Improve Your Data Governance and Security Skills","Big Data"
"1562496042-2070","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for the LPIC-1 and CompTIA Linux+ Certifications","Network Administration"
"1562496042-2074","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a Cloud Developer","Cloud Computing"
"1562496042-2103","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for AWS SysOps Administrator Certification","Cloud Computing"
"1562496042-2203","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Advance Your JavaScript Skills","JavaScript"
"1562496042-2199","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become an Android Mobile App Developer","Mobile Application Development"
"1562496042-2090","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a MEAN Javascript developer","Express.js"
"1562496042-2165","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become an Angular 2+ Developer","AngularJS"
"1562496042-2087","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become an iOS 11 App Developer","Mobile Application Development"
"1562496042-2096","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Advance Your Skills in the Hadoop/NoSQL Data Science Stack","Database Development"
"1562496042-2172","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a Python Developer","Object-Oriented Programming (OOP)"
"1562496042-2149","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Improve Your Xcode Skills","Mobile Application Development"
"1562496042-2158","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a WordPress Ecommerce Developer","E-commerce"
"1562496042-2185","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a Business Analytics Expert","Business Analytics"
"1562496042-2102","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Get Ahead in DevSecOps","Continuous Delivery"
"1562496042-2105","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Advance Your Skills as an R Expert","Data Visualization"
"1562496042-2066","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a Java Programmer","Jakarta EE"
"1562496042-2069","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for the CCNA Routing and Switching Certification","Wide Area Network (WAN)"
"1562496042-2062","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a Data Scientist","Statistics"
"1562496042-2181","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Advance Your JavaScript Skills","JavaScript"
"1562496042-2141","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a React Developer","React.js"
"1562496042-2196","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a C++ Developer","Object-Oriented Programming (OOP)"
"1562496042-2110","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for the MTA: Security Fundamentals Exam (98-367)","Cybersecurity"
"1562496042-2159","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for the Certified Information Systems Security Professional (CISSP) Exam","Security Management"
"1562496042-2129","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for the MTA: Microsoft Cloud Fundamentals (98-369) Exam","Cloud Computing"
"1562496042-2140","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Developing and Delivering Software with Docker","Cloud Development"
"1562496042-2198","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for the MTA: Software Development Fundamentals Exam (98-361)","Software Development Life Cycle (SDLC)"
"1562496042-2183","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a Test Automation Engineer","Unit Testing"
"1562496042-2098","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Advance Your Skills as an Apache Spark Specialist","Apache Spark"
"1562496042-2079","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become an AngularJS Developer","AngularJS"
"1562496042-2146","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for CompTIA Network+ (N10-007) Certification","Networking"
"1562496042-2175","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Build an iOS Application","Mobile Application Development"
"1562496042-2176","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become an Azure Developer","Cloud Development"
"1562496042-2123","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Master In-Demand Skills for Technology Leadership","Management"
"1562496042-2160","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for the AZ-203 Developing Solutions for Microsoft Azure Exam","Cloud Development"
"1562496042-2067","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Master Python for Data Science","Big Data"
"1562496042-2162","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Master Excel for Data Science","Business Intelligence (BI)"
"1562496042-2088","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a Certified Information Security Manager","Incident Management"
"1562496042-2130","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Advance Your Skills in AI and Machine Learning","Python (Programming Language)"
"1562496042-2168","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Advance your Skills as a PHP Developer: Working with Data","PHP"
"1562496042-2155","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for the Designing and Deploying Microsoft Exchange Server 2016 (70-345) Exam","Network Administration"
"1562496042-2081","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a MERN Stack JavaScript Developer","Express.js"
"1562496042-2173","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for the CompTIA Cybersecurity Analyst (CySA+) Exam","Security Analysis"
"1562496042-2150","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for the AZ-203 Developing Solutions for Microsoft Azure Exam","Cloud Development"
"1562496042-2192","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a CompTIA Security+ Certified Security Professional","Cryptography"
"1562496042-2072","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become an IT Security Specialist","Network Security"
"1562496042-2170","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for the AZ-203 Developing Solutions for Microsoft Azure Exam","Cloud Development"
"1562496042-2143","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Advance Your Skills as a Python Data Expert","Data Analysis"
"1562496042-2187","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Master Advanced Excel Data & Analytics Skills","Microsoft Excel"
"1562496042-2112","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Get Ahead in iOS App Development","Mobile Application Development"
"1562496042-2111","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Stay Ahead in Azure Development","Cloud Computing"
"1562496042-2193","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a C# Developer","C#"
"1562496042-2163","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Master GIS for Data Science","Arcgis Products"
"1562496042-2109","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Advance Your Data Science Skills in Health Sciences","Data Analysis"
"1562496042-2118","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Digital Transformation for Tech Leaders","Digital Transformation"
"1562496042-2117","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Advance Your Skills in Predictive Analytics","Business Analytics"
"1562496042-2190","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Prepare for the AZ-203 Developing Solutions for Microsoft Azure Exam","Cloud Development"
"1562496042-2166","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Master Swift","Mobile Application Development"
"1562496042-2099","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a Docker Administrator","Containerization"
"1562496042-2065","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Master SQL for Data Science","SQL"
"1562496042-2080","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Applying Lean, DevOps, and Agile to Your IT Organization","Product Management"
"1562496042-2116","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a Data Analytics Specialist","Statistics"
"1562496042-2106","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become a Xamarin.Forms Developer","Mobile Application Development"
"1562496042-2139","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Become an Azure Cloud Administrator","Disaster Recovery"
"1562496042-2191","https://www.linkedin.com/learning/topics/technology?entityType=LEARNING_PATH&u=49112041","Advance Your JavaScript Skills","JavaScript"
